,comments,likes
0,지인이 제작년 이 모델 구입한김에 함께 종종 타고 다니는데 일단 주행능력이 뛰어나서 놀람.그리고  캠핑도 두세번 다녀 봤는데 아무 문제 없었음 개인마다 호불호 있는차는 맞지만 디자인만 화려하고 필요없는 옵션이 수두룩한 차들보다 하체가 단단하고 주행감이 뛰어나서 백만배 낫다는 생각.결론은 근본에 충실한 차 라고 생각한다,38
1,유니크한디자인에 운전감도 좋고 잘타고있는데 ㅎㅎ 볼때마다 이쁘다고 생각하고 오너로써는 상당히 만족스러운데딜러분은 영업사원이라는 사람이 이 차의 메리트를 모르시네요 ㅎㅎ,18
2,이러니 한독모터스가 이미지가 개판이지...대단합니다. BMW본사에서 보면(뭐 볼일은 없겠지만) BMW코리아에 진짜 클레임 걸겠네요 ㅋㅋ 딜러사 관리 안하냐고 진짜.. 그래서 BMW살때 한독 딜러 한명 상담 후 무조건 제외하고 알아봤습니다.,22
3,x2 1년차 5만 탔습니다. 저는 엄청 좋습니다. 유니크하죠. ㅎㅎ 처음 3초 보고 바로 결정한 차량인데. 물론 추후 x4 x6가 최종이 되겠지만 x2훌륭합니다.  c필러가 매력인데 엄청 까는 ㅋ 발컨 내껀되는데. 인식률 90퍼 이상 제 동영상 보면 얼마나 잘 열리는지 알수 있을끈뎁 ㅅ 2인승이라고 말해서 나만 네명 태우고 다니나? ㅡㅡ. 비인기 차량이라고 하기보단. 화재사건때. 들어온 차라고 해서 홍보를 못한거라고 저는 들었는데 비인기 차량에도 불구하고 대기가 있었는데 ㅅ 저는 오너인데. 유니크하고 4인승 충분합니다.  c 필러 악담을 하다뉘 ㅋㅋㅋ 그게 매력이구먼. 사람에 따라 보는차이가 있네 ㅋㅋㅋㅋ,12
4,"르노도 xm3처럼 작은사이즈 쿠페suv 이쁘게 잘만든거 같은데..걍 x1에서 크기 좀만 키워서 x4,x6같은 ㄹㅇ 쿠페suv로 만들지",5
5,현실은 차량 탑승자는1~2명잘 달리고 잘서면 괜찮다고 생각함,4
6,너무 웃겨 ㅋㅋㅋㅋ 진짜 천재네 ㅋㅋㅋ 병맛컨셉 제대로~,1
7,X2가 잘 안팔리는 모델인가요?개성이 강해서 그런가..중고차로 고려중인데 안좋은 점이 있을까요?,2
8,밑에 달린 한독 모터스 개판이라는 거 백번 인정합니다.BMW & MINI는 코오롱 or 도이치가 답,2
9,190마력이 아니고 290마력 정도로 나왔으면 2030미혼자들이 생각해 볼만한 차이긴한데....그런데 결정적으로 X1보다도 비싸다는게.....ㅋㅋㅋ,1
10,ㅋㅋㅋ 매번 딜러분이 정말 하기싫은데 억지로 끌려나와서 마지못해 해주는 느낌 ㅋㅋㅋㅋ,7
11,극딜ㅋㅋㅋㅋㅋㅋ더위 조심하세여 형,1
12,저정도 다리길이면 x2 이상 없을텐데 공간이....,3
13,딜러님 스타크래프트 겁나잘하실듯 코인은하지마시길..,1
14,19인치치고작다는느낌빼고는 ㅎㅎㅎ 다괜찮아요 ㅎㅎㅎㅎ,1
15,"BamBa~ X시리즈 계열에서 전 X1 , X3 , X5 , X7가장 좋아하는데 돈이없...ㅇ",2
16,"X2를 까기 위한 영상 같아서 보는내내 기분이 안좋았어요^^; 뒤에 장점을 이야기할때도 앞의 편향된 악담의 임팩트가 크다보니..ㅠ 먼저 X2는 BMW공식 홈페이지에 보시면 중형SUV로 구분된 차입니다.제 와이프차인데 제법 뒷좌석도 넓습니다.지금 나오는 차들은 주차하기 어려울 정도로 너무 커졌기때문에 그렇게 좁다고 표현하는 것 같은데...차폭도 X1보다 약간이지만 넓은 건 사실이고(쿠페이다 보니 높이는 오히려 낮지만) 5명이 가끔 타도 될 정도의 공간입니다.예전 제가 몰던 준대형 SM7과 비슷한 폭입니다.제원보시길,,옛날 중형 현대차 스텔라 내부 사이즈 보다 작지 않음!!!!.글구 딜러분이 트렁크 발로 움직여도 열린다는 것도 모르시고 차 홍보하시려는 의지가 없으신 분처럼 느껴질 정도로...X2의 매력이 무엇인지도 모르고 리뷰하는 것 같고,,, 장점을 이야기 하실때도 실금 실금 비소하면서 홍보로 보이지도 않고 ...참,,,ㅠ 첫 댓글인데 송구합니다~♡ 파세오정님 언급처럼 정말 파실 생각이 없으신 분 같아요!!주말 아침에 기분이 영~ㅠ",50
17,차를 사라는건지 말라는거지  계약은해놨는데 포기한차라고하니 참 난감쓰하네 x3사러갔다가x2보고 너무기엽고이뻐서 샀는데 고민되네 ....,9
18,이름도 같고 직장도 바로 앞이여서 bm가면 꼭 현호주임님께 갈께요 ㅎㅎ,1
19,ㅋㅋㅋㅋㅋㅋㅋㅋ준나웃긴당 리뷰 ㅋㅋㅋㅋ,1
20,집사람 차4월 예약했는데8월10일배에 한대도 안들어 왔대요.영상보니깐 다른차 사야되나 고민되네요.ㅎ,4
21,X1도 해주세요ㅠㅠ,2
22,이 차 사서 잘 사용하는데.. 이런식으로 딜러가 올리면... bmw클램 걸어야ㅜ하겠네요. 당장,12
23,"BMW 다 그래요. 왜 3시리즈 샀어 그랜져사지, 왜 1시리즈 샀어 그랜져사지, 왜 5시리즈 샀어 제네시스사지, 왜 X3샀어 소렌토사지, 운전석에 앉혀야 그제서야 아...... 하는 그런 브랜드인거 같음.",6
24,5개월정도 타고있는데요시승해보고 디자인과 주행감이 맘에들어 계약했습니다.화려한옵션보단 차잘나가고 잘서고 기본에 충실한걸 좋아해서 만족하며 타고있는데 영상보다 짜증나서 박고갑니다,6
25,ㅋㅋㅋㅋ전나 웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ,1
26,더위 조심 ㅠ,2
27,즐감^^,1
28,x2 좋던데..머선영상이지?,3
29,나는 진짜 변태인가봄 이거 사고싶음,1
30,밖에서 두분 다 더워서 짜증나는데 참는게보여여ㅋㅋㅋ,2
31,ㅋㅋㅋ x2 차주들 부들대는 댓글있다고 소문듣고 보러 왔습니다,1
32,차를 쓰레기라고 평가하다니...넌 그럴 자격이 있고 이렇게 말하냐?,6
33,글구 내껀 20인치임 ㅋㅋ 그래서 잘달림 ㅋ,1
34,x2가 외형이 안멋있나요? 그냥 까는거네,1
35,엔트리급 리뷰는 하지마세요,2
36,더워 디지네...ㅜㅜ,1
37,논두렁빠졌어ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
38,와이프 줄려고 X2 20i m 메쉬버전 계약했고 마누라가 차 받기도 전인데 너무너무 이 차를 좋아했는데 이영상 보고 저xx누구냐고? 왜 자기가살차 까냐고 화냄. 구라라고 할까봐 계약서 사진 올리고 싶은데 댓글에 사진올리는 기능이 없네.,11
39,궁내동딜러한테 개지랄하고 계약취소하고 서현가서 계약했어요. 딜러라는사람이 이딴 영상이나찍고...,9
40,앗따 주임님 잇몸 핑크백만개,1
41,이직 준비중이신가요ㅋㅋ,1
42,댓글들이 x3 이상은 부담되고 큰맘먹고 수입차를 할인 받아서 산 오너들이 무조건 잘샀다 좋다고 본인을 세뇌하는 현장같네,1
43,맞는말만하네요~솔직히 살이유가 전혀없음 ^^ x1이 훨나음,1
44,수입차는 타고싶은데 가격이 비싸서 싼값에라도 수입차 타려고 사는게 아닐까? 다른 수입차는 눈에 안들어오고. . .,2
45,X2값이면 gv70 깡통값인데 걍 gv70깡통사는게 현명하지 싶음비엠은 3밑으로 살 가치가 없는 차,2
46,"영상, 구성 모두 좋습니다....  고성능 모델인데도 패들쉬프트가 없는게 특이하네요.. BMW를 많이 타보지는 않아서..  영상에 x3도 있는거 같은데... 연비는 갑이네요..",2
47,저도 1세대 X1 25d 특히 주황색으로 정말 땡겼었는데 ㅎㅎ후륜 베이스에 SUV라 보기 힘든 낮은 차체... 컨셉대로 SAV에 딱 걸맞는 차였는데,3
48,국내에서 첨 보는 X2 시승기 같네요!! 국내에서 출시가 늦어지면서 올드한 실내가 되어버린 점이 너무 아쉽네요... ㅠㅠ,3
49,부산모터쇼에서 보고 한눈에 반해서 xc40살라다가 돈 모아가면서 참앗는데 5천후반때로 예상한 가격이 7천 넘게 출시되니 거의 9천들여야 되는데 그가격에 비해 다시 고민해보면 그냥 인피니티나 볼보가 훨 적합한듯 하네요 ㅠㅠㅠ,2
50,와...가격 넘사벽 천만원 할인해도...ㅎㄷㄷ선택지가 너무 많은듯 싶내요,3
51,실내는 됏고 외관 디자인은 개이쁨 !,2
52,항상 퀄리티있는 영상 감사합니다오토뷰 의 지난 ES영상 덕분에 와이프는 IS 로 선택하게 됐네요ㅋㅋ 저는 2액투는 포기했지만요ㅎㅎ그런데 와우!!!  영상만봐도 잘돌아나가는 운동성능이 보이네요..간만에...줜윈호~~ 기자님도 고생하셨습니다,10
53,차는 다 좋은데 가격이  비싸다... 이게 결론이네요 공간이 중요한데 그래도 4인기준으로는 살짝 부족해도 나쁘지 않아보이고  1000정도 깍아주면 사실분들은 있어보이긴하네요 다른건 몰라도 디자인이 참 곱네요,2
54,기다렸다 오토뷰!!!믿고보는 오토뷰!!!,27
55,이렇게 기습적으로 출시 하다니. 나온줄도 모름..,3
56,늘 잘보고있습니다 저는 신형아반떼 구입고려중인데 시승기 기다리고있습니다,3
57,김선웅 기자님 알고계시고 알아보신 전문적인 지식들 항상 감사드리고 전인호 기자님 매번 출연해주세요~ 서킷 아니어도 얼굴 비춰주시면 좋을것같아요기태형님은 지금처럼만 주욱 해주세요,8
58,안전옵션은 빠지고... 적당히 비싸네요.ㅎ잘봤어요.,6
59,x2급에 20인치.. 타이어값 장난아니것네유 ㅋㅋ,15
60,차는 잘 빠졌네요. 올드한 느낌도 없고 젊은 분들 좋아할 듯 하지만 가격땜시,3
61,"개인적으로 김선웅 기자님도 이를테면 사수(?)인 PD님을 따라가는 것도 좋지만, 전인호 기자님처럼 본인 스타일대로 편하게 말씀해보시는 건 어떨까 하는 생각을 해봅니다영상 잘 봤습니다 :)",5
62,전인호기자님 오랜만에 뵙습니다. 매번 출연 부탁드립니다.^^,4
63,기자님 말씀처럼 애초에 적정한 가격으로 출시해서 가격에 대한 신뢰도를 높여줬으면 하네요ㅜㅜ6천만원대에 기냥 크루즈컨트롤 너무 ㅊㄹ하네여..,2
64,역시 오토뷰~~!!!!^^ 차값이 아쉽긴하네요~ 볼보의 xc40하고 고민될것 같아요,6
65,몇년전에 나왔어야 할 차네요,3
66,X2 시승기는 처음보는것 같네요잘보겠습니다,2
67,불이났어도 좋아보이는건 참 신기한 기분이네요잘볼께요 수고하셨습니다,2
68,전시장에서 실제로 보니 예쁘더군요~ 근대 지금 사면 너무 비쌈..,13
69,잘보았습니다.. 저두 이차는 보는내내 맘에 드네요~~ 가격이 문제 ㅜㅜㅜ,2
70,구입하면 타이어는 무조건 바꿔야 되겠네요. ㅎㅎ,3
71,"저번 x1은 혹평이었는데 이번 x2는 나쁘지는 않네요....아, 가격빼고",3
72,뒷좌석 헤드룸은 모르겠는데 레그룸은 저정도면 괜찮은거 같은데..,2
73,가격만 맞는다면 사고싶네요.,2
74,비엠 라인업 확장하는거 보면 진짜 돈에 환장한것 같음,5
