제목,내용,날짜,추천수,조회수
"법원 ""교통사고 가해측 보험사는 피해차 가치 하락도 배상해야""",,05/03,5,692
"에디슨EV ""채권자가 법원에 파산 신청…채권액 36억원""",,05/06,3,1266
"기아, 신형 니로 EV 사전계약 실시…1회 충전에 401㎞ 주..",,05/03,2,1452
"현대차, 3년 만에 유관중으로 `현대 N 페스티벌` 개최",,05/03,1,260
호세 무뇨스 현대차 사장 이사회 합류…글로벌시장 챙긴다,,05/04,1,274
원자잿값 상승? “당분간 요소수 가격 재인상 없다”,"요소수 대란 6개월, 요소수 업계대란 후 가격 인상…추가 인상엔 ‘신중’“일부 요소수 판매업체가 불안감 조성”시중에 불량 요소수 만연…순정품 확인해야최근 국제 원자재가 상승과 러시아-우크라..",09:26,0,17
"현대차, 제2회 `히어 커스터마이징 아이디어 공모전` 개최",(서울=연합뉴스) 김보경 기자 = 현대차는 고객 맞춤형 아이디어를 모집하는 '히어(H-ear) 커스터마이징 아이디어 공모전'을 연다고 9일 밝혔다.히어는 상품·서비스 개발 초기 단계에서부터..,09:24,0,11
"EV6 등 현대차그룹 전용 전기차, 내수 5만대·수출 10만대 돌파","인니서 아이오닉 5 인기·GV60 美시장 출시로 하반기 판매 확대 전망기아 EV6[기아 제공. DB 및 재판매 금지](서울=연합뉴스) 박성민 기자 = 현대차 아이오닉 5와 기아 EV6, 제..",09:21,0,6
"현대차, 울산공장에 LNG 열병합발전소 건설 추진",한전에서 받는 전력량 72% 자체 생산 계획현대차 울산공장[연합뉴스 자료사진](서울=연합뉴스) 박성민 기자 = 현대차가 메인 공장인 울산공장에 액화천연가스(LNG) 열병합 발전소를 건설해 ..,09:19,0,8
"""2028년까지 미래차 기술인력 약 4만명 더 필요…인재양성 시급""","자동차산업 인적자원개발위 ""내연기관차 부품 기업 2030년까지 500개 줄어""""한국 친환경차 관련 인력 5만명…6년 뒤 인력 수요 8만9천69명에 달할 것""미래차 (CG)[연합뉴스TV 제공..",09:17,0,3
포터·봉고 `잘나가네`…승용차 누르고 판매 1·2위 달린다,반도체난·EV인기에 이례적으로 가장 많이 팔려불황보단 구매환경 변화 따른 복합적 요인 작용(서울=연합뉴스) 김보경 기자 = 차량용 반도체 수급난 여파로 국내 자동차 판매 순위가 뒤바뀌고 있..,09:15,0,8
3억원 이상 국내 법인명의 `슈퍼카` 5천대 넘어…6년새 4배로,"정우택 의원실 분석…""2억∼3억원 법인 수입차는 2만1천여대""독일-영국 등은 법인차 사적용도 사용시 소득세 부과…""제도개선 필요""람보르기니 우라칸 테크니카[연합뉴스 자료사진](서울=연합뉴스..",09:14,0,5
쌍용차 인수 중도포기 없다…인수후보 4곳 인수제안서 제출 방침,2주간 예비실사 종료…다음달 11일까지 인수제안서 접수침묵에 휩싸인 쌍용차 평택공장[쌍용차 제공. 재판매 및 DB 금지] photo@yna.co.kr(서울=연합뉴스) 최평천 기자 = 쌍용차..,05/06,1,1709
"에디슨EV ""채권자가 법원에 파산 신청…채권액 36억원""","파산 선고되면 즉시 상폐…거래소 ""관리종목 지정 사유 추가""에디슨모터스[에디슨모터스 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 이미령 기자 = 쌍용차 인수에 나섰다가 실패한 에디..",05/06,3,1299
