,title,url
0,4월 수입차 판매 9.8%↓… 반도체 부족에도 끄떡없는 ‘벤츠·BMW’,https://www.donga.com/news/article/all/20220504/113232680/2
1,"메르세데스-벤츠, 실용적인 MPV ‘T-클래스’ 공개",https://hankookilbo.com/News/Read/A2022050607390004484?did=NA
2,"[시승기] 벤츠 '더 뉴 C-클래스', S-클래스 닮은 고급 감성 '만족'",http://www.shinailbo.co.kr/news/articleView.html?idxno=1537467
3,프리미엄 밴 ‘벤츠 V 클래스’ V300d AMG 4MATIC 공개,https://www.thepublic.kr/news/newsview.php?ncode=1065596515954449
4,정리해고에 불만 품은 벤츠 직원 굴삭기로 V클래스 50여대 파손,http://www.autodaily.co.kr/news/articleView.html?idxno=424807
5,"벤츠, 다목적 밴 시탄 공개..유럽형 스타리아(?)",http://www.dailycar.co.kr/content/news.html?type=view&autoId=40728
6,'룬커스텀‘ ‘퍼스트클래스급’ 카니발 하이리무진 Signature 라인업 공개,http://www.thedrive.co.kr/news/newsview.php?ncode=1065580301787158
7,E클래스 택시가 사라진다..벤츠 獨서 공급 중단..과연 대체자는?,http://www.dailycar.co.kr/content/news.html?type=view&autoId=43392
8,‘작은 S클래스’ 벤츠 신형 C클래스 이달 국내 판매… 2.0 가솔린 터보 2종 先 출시,https://www.donga.com/news/article/all/20220307/112206286/2
9,"벤츠, S클래스를 품은 미니밴 V클래스 부분변경..특징은?",http://www.dailycar.co.kr/content/news.html?type=view&autoId=33072
10,"JS리무진, 4월 중 강남 전시장 오픈",https://www.news1.kr/articles/?4653686
11,벤츠 7인승 밴 ‘V클래스’ 국내 도입…“럭셔리 밴 시장 개척”,http://news.donga.com/3/all/20190214/94112536/2
12,"한국에서 만날 수 없는 그 존재, ‘메르세데스-벤츠 V 클래스’",http://www.hankookilbo.com/news/npath/201902111041732057?did=NA
13,"벤츠 V-클래스 `럭셔리 밴 끝판왕`..""금ㆍ진주 장식에 달리는 VIP룸""",http://www.gpkorea.com/news/articleView.html?idxno=49024
14,"[주차장] 3월 3주, 수입 브랜드 신차 공개…벤츠 외 6가지 자동차",http://www.shinailbo.co.kr/news/articleView.html?idxno=1525949
15,"클럽넘버원, 2021 신형 V-CLASS 출시로 고객만족도 높여",http://www.thefirstmedia.net/news/articleView.html?idxno=71583
16,'정리해고에 앙심'…불도저로 65억원어치 벤츠 깔아뭉갰다,http://news.mt.co.kr/mtview.php?no=2021010814533025554
17,불도저로 벤츠 65억 원어치 깔아뭉갠 직원…“해고에 앙심”,https://www.donga.com/news/article/all/20210107/104819105/2
18,"탑카, 메르세데스-벤츠 V 클래스 튜닝카 공개",http://autoin.edaily.co.kr/news/newspath.asp?newsid=01446486616156224
19,"메르세데스 벤츠, 'V클래스 AMG 라인' 공개, 스포츠 미니밴인가?",http://www.kbench.com/?q=node/154501
20,"특장기업 JS리무진, 서초 전시장 오픈",http://news.mk.co.kr/newsRead.php?no=350403&year=2022
21,"한국타이어, ‘메르세데스-벤츠 V-클래스’ 신차용 타이어 공급",http://www.osen.co.kr/article/G1110036650
22,"벤츠 V클래스 공개··""벤츠가 만드니 승합차도 다르네""",http://www.wowtv.co.kr/newscenter/news/view.asp?bcode=T30001000&artid=A201403070324
23,"벤츠, S클래스급 V클래스 출시",http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=04&c1=04&c2=04&c3=00&nkey=201402031118331
24,'메르세데스-벤츠 V-클래스' 타이어 공급,http://www.chungnamilbo.com/news/articleView.html?idxno=312182
25,"국토부, 현대차 싼타페·벤츠 C클래스·혼다 CR-V 등 5만3719대 리콜",http://www.enewstoday.co.kr/news/articleView.html?idxno=1160028
26,"벤츠, 신형 V클래스 인테리어 공개",http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=04&c1=04&c2=04&c3=00&nkey=201310250645221
27,"씨엔모터스, V-CLASS 하이리무진 출시…런칭 행사 개최",http://www.gpkorea.com/news/articleView.html?idxno=83187
28,[자동차] 메르세데스-벤츠 V-클래스에… 한국타이어 신차용 타이어 공급,http://www.koreadaily.com/news/read.asp?art_id=3063681
29,[2015제네바모터쇼]벤츠 '더 뉴 V클래스 컨셉트카',http://view.asiae.co.kr/news/view.htm?idxno=2015030410484096718
30,"코브라, 벤츠 V클래스 튜닝 파츠 선봬",http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=04&c1=04&c2=04&c3=00&nkey=201502190356421
31,"""널린 게 벤츠·BMW·포르쉐""라더니…'1억' 넘어야 수입차 대접받겠네 [세상만車]",https://premium.mk.co.kr/view.php?no=31425
32,"메르세데스-벤츠, 1회 충전으로 405㎞ 주행할 수 있는 전기 미니밴 'EQV' 출시",http://it.chosun.com/site/data/html_dir/2020/05/27/2020052700787.html
33,카니발 하이리무진 특장 전문 ‘JS리무진’ 4월 서초동 전시장 신규 오픈,http://sports.khan.co.kr/news/sk_index.html?art_id=202204131508003&sec_id=563002&pt=nv
