title,link,content,date
"[현대차, 이더리움 기반 '별똥별 NFT' 1만개 판매]",https://n.news.naver.com/mnews/article/030/0003014563?sid=103,"[

			현대차가 메타모빌리티 비전을 담은 이더리움 기반 별똥별 대체불가토큰(NFT) 1만개를 판매한다고 3일 밝혔다. 화이트리스트 대상 판매는 9일, 일반 고객 대상 판매는 10일이다. 현대차 NFT 공식 웹사이트에서 구매할 수 있다.



현대차가 메타모빌리티 비전을 담은 이더리움 기반 별똥별 대체불가토큰(NFT) 1만개를 판매한다.별똥별 NFT 판매는 지난달 18일 공개한 '현대×메타콩즈' 영상 스토리 후속 프로젝트다. 별똥별 NFT는 앞으로 메타모빌리티 NFT로 변환해 현대 NFT 세계관 '메타모빌리티 유니버스'에 포함된다.현대차는 NFT에 리빌(추후 공개) 방식을 적용했다. 1만개 별똥별 NFT는 이달 말 전자 지갑에서 메타모빌리티 NFT로 변환된다. 구매자들은 속성이 조금씩 다른 이미지 NFT를 갖는다.현대차는 이번 판매를 시작으로 메타모빌리티 유니버스 세계관 속에서 커뮤니티 기반 NFT 프로젝트 진행을 본격화할 계획이라고 설명했다.현대차 관계자는 “메타모빌리티 유니버스는 '시공간을 넘나드는 혁신적 이동 경험이 가능한 세상'을 표현한다”며 “별똥별 NFT를 시작으로 고객에게 다양한 브랜드 경험을 제공하도록 노력하겠다”고 말했다.

]","[2022.05.03. 오전 10:33, 2022.05.03. 오후 3:40]"
"[현대차, 피치스와 어린이날 행사 '칠드런스 데이' 개최]",https://n.news.naver.com/mnews/article/001/0013153712?sid=101,"[

			(서울=연합뉴스) 김보경 기자 = 현대차가 라이프스타일·패션브랜드 피치스와 손잡고 N 브랜드를 체험할 수 있는 어린이날 행사를 연다.    현대차는 오는 5∼8일 서울 성수동에 있는 복합문화공간 '피치스 도원'에서 N 브랜드 차량을 주제로 하는 어린이날 행사 '칠드런스 데이'(ChildreN's Day)'를 개최한다고 3일 밝혔다.    행사는 아반떼 N을 하나의 캔버스로 해 물총으로 그림을 그리는 '아반떼 N 아트 페인팅', N 브랜드 체험할 수 있는 어린이 범퍼카 프로그램 '에어트랙 범퍼카' 등으로 구성됐다.    아울러 현대차는 N 브랜드의 모터스포츠 우승 차량을 전시하고, 피치스 도원에 있는 도넛 브랜드 노티드가 내놓은 N 브랜드 컬래버레이션 도넛과 음료를 판매한다.    현대차 관계자는 ""앞으로도 더 많은 고객이 일상에서 N 브랜드의 고성능을 즐길 수 있도록 다양한 이벤트를 실시하겠다""고 말했다.



현대차, 피치스와 어린이날 행사 '칠드런스 데이' 개최[현대차 제공. 재판매 및 DB 금지]    vivid@yna.co.kr

]","[2022.05.03. 오전 10:32, 2022.05.03. 오전 10:37]"
"[현대차, 4월 30.9만대 판매…전년比 11.6% 감소]",https://n.news.naver.com/mnews/article/003/0011159540?sid=101,"[





[서울=뉴시스] 박정규 기자 = 현대자동차가 전월에 이어 지난달에도 판매 감소세를 이어갔다.현대차는 지난달 국내에서 5만9415대, 해외에서 24만9373대 등 세계시장에서 총 30만8788대를 판매했다고 2일 밝혔다.이는 지난해 같은 기간과 비교할 때 국내 판매는 15.4%, 해외 판매는 10.6%씩 감소한 수치다.국내시장에서 세단은 그랜저가 5192대, 쏘나타 4165대, 아반떼 6382대 등 총 1만5761대가 팔렸다.레저용 차량(RV)은 팰리세이드 4461대, 싼타페 1997대, 투싼 4175대, 아이오닉5 2963대, 캐스퍼 3420대 등 총 1만9873대를 판매했다.포터는 8423대, 스타리아는 2387대를 판매했으며 중대형 버스와 트럭 판매량은 1681대를 기록했다.프리미엄 브랜드 제네시스는 G80 4023대, GV80 1753대, GV70 2100대, GV60 796대 등 총 1만1290대가 팔렸다.현대차 관계자는 ""반도체 부품 수급 부족으로 인한 생산 차질 및 오미크론 확산 등 경영 불확실성이 지속되는 상황에도 차량 생산 일정 조정 등을 통해 공급 지연 영향을 최소화할 것""이라며 ""경쟁력 있는 신차를 지속 출시하고 내실 있는 판매 전략을 펼쳐 시장 점유율 확대 및 수익성 강화를 추진하겠다""고 밝혔다．

]","[2022.05.02. 오후 3:36, 2022.05.02. 오후 5:32]"
"['NFT 진출' 현대차, 메타모빌리티 비전 담은 별똥별 NFT 판매]",https://n.news.naver.com/mnews/article/215/0001029333?sid=101,"[





지난달 NFT(대체불가능토큰) 시장에 진출한 현대자동차가 본격 NFT 판매에 나선다.현대차는 3일 메타모빌리티 비전을 담은 별똥별 NFT(대체불가능토큰) 판매를 시작했다고 밝혔다.메타모빌리티는 현대차의 NFT 세계관으로 별똥별 NFT는 지난 2일 개설된 현대차 NFT 공식 웹사이트를 통해 구매할 수 있다.현대차는 오는 9~10일 이더리움 기반 공식 NFT 1만 개를 판매할 예정으로 화이트리스트 고객(VIP 고객의 일종)은 9일, 일반 고객은 10일 구매가 가능하다.이번 별똥별 형태의 NFT 판매는 지난달 18일 공개된 '현대X메타콩즈' 영상 스토리와 이어지는 것으로, 별똥별 NFT는 추후 메타모빌리티 NFT로 변환돼 '메타모빌리티 유니버스'를 누비게 된다.현대차에 따르면, 메타모빌리티 NFT는 NFT 마켓에서 고객의 재미를 위해 주로 쓰이는 리빌(추후공개) 방식을 적용했다.1만 개의 동일한 별똥별 NFT는 5월말 메타모빌리티 NFT로 지갑에서 변환되며, 구매자들은 속성이 조금씩 다른 이미지 NFT를 가지게 된다.5월 말까지 이미지는 비공개로 유지될 예정이다.한편, 지난달 20일 처음으로 판매된 '현대X메타콩즈 콜라보레이션 NFT'는 뜨거운 관심속에 매진됐다.

]","[2022.05.03. 오전 10:32, 2022.05.03. 오전 10:33]"
[1분기 세계 수소차 판매 4000대 하회…현대차 1위 수성],https://n.news.naver.com/mnews/article/018/0005206852?sid=101,"[

세계 수소차 시장 전년비 2.7%↓토요타 '미라이' 판매 감소 폭 확대[이데일리 경계영 기자] 지난 1분기 세계 수소연료전지차 시장이 뒷걸음질쳤다. 차량용 반도체 수급난, 우크라이나 사태 등이 겹치며 현대자동차 ‘넥쏘’와 토요타 ‘미라이’ 모두 판매가 부진했다. 3일 SNE리서치에 따르면 세계 각국에 1분기 등록된 수소연료전지차 판매대수는 3939대로 집계됐다. 지난해 1분기 4050대에서 2.7% 줄며 4000대를 밑돌았다. 현대차(005380)는 수소차 판매량이 1710대로 전년 동기 대비 5.4% 줄었지만 1위를 지켰다. 토요타 역시 수소차 판매량이 같은 기간 31.8% 감소한 1337대에 그쳤다. SNE리서치는 현대차와 토요타의 수소차 판매가 부진한 배경으로 차량용 반도체 수급난과 원자재 가격 상승, 우크라이나 사태 등 위협 요인이 복합적으로 작용했기 때문이라고 분석했다. 토요타가 일본에서의 공급망 이슈와 자연재해 등 대외 악재가 더해지며 물량 공급에 더욱 타격 받았다고도 덧붙였다. 혼다는 수소차 판매량이 154대로 전년 동기 대비 65.6% 증가했다. 혼다의 시장 내 점유율은 지난해 1분기 2.3%에서 올해 1분기 3.9%로 1%포인트 넘게 올랐다. SNE리서치는 올해 들어 수소차 시장이 각종 글로벌 이슈에 직면하면서 주춤했다면서 여러 불확실성이 이어지는 상황에서 현대차가 독주할 수 있을지 지켜볼 필요가 있다고 판단했다. 



단위=대, 자료=SNE리서치

]",[2022.05.03. 오후 2:05]
"[현대차, 3년 만에 관중 앞에서 ‘고성능 N’ 레이싱 펼친다]",https://n.news.naver.com/mnews/article/032/0003144527?sid=101,"[

			[경향신문] 



지난해 ‘현대 N 페스티벌’에 출전한 고성능 브랜드 N 차량들이 서킷을 질주하고 있다. 현대차 제공현대차가 국내 최대 규모의 원메이크(단일 차종) 경주 대회인 ‘현대 N 페스티벌’을 개최한다고 3일 밝혔다. 현대 N 페스티벌은 현대차의 고성능 브랜드 N 차량으로 레이싱을 펼치는 대회다. 올해 행사는 오는 6~8일 강원 인제스피디움에서 진행되는 1라운드를 시작으로 막을 올린다. 이후 10월까지 총 7라운드의 레이스에 150여대의 차량이 출전한다. 일반인들이 모터스포츠를 직접 관람하고 부대행사를 즐길 수 있는 현대 N 페스티벌은 2019년 시작했다. 코로나19 사태로 2020년과 지난해엔 무관중으로 치러졌다. 최근 방역 지침이 대폭 완화되면서 3년 만에 다시 관중이 입장할 수 있게 됐다. 올해 행사에는 아반떼 N 차량으로 참가할 수 있는 최상위 프로급 ‘아반떼 N컵’이 새롭게 추가됐다. 아반떼 N컵에는 서한GP, 아트라스BX, 쏠라이트 인디고 등 국내 인기 모터스포츠 레이싱팀들이 출전한다. 아반떼 N컵을 비롯해 ‘벨로스터 N컵’(아마추어급), ‘아반떼 N 라인컵’(입문자급) 등 다양한 형태의 레이싱이 펼쳐진다. 



올해 ‘현대 N 페스티벌’에 신설된 ‘아반떼 N컵’에 참가할 아반떼 N 레이싱카. 현대차 제공



인제스피디움을 방문하는 모터스포츠 팬들을 위해 조성한 ‘현대 N 라운지’. 현대차 제공



인제스피디움에 마련된 ‘현대 N 라운지’에서는 N 브랜드를 체험하고 e스포츠도 즐길 수 있게 해놨다.  현대차 제공현대차는 TV와 유튜브, 페이스북, 네이버TV 등으로 레이싱을 중계해 현장에 가지 못하는 팬들도 대회를 즐길 수 있도록 할 방침이다. 현장에서는 방문객들이 e스포츠도 즐길 수 있는 휴식 공간인 ‘현대 N 라운지’도 운영한다. 현대차는 앞으로 다양한 체험 프로그램을 라운지에서 선보인다는 계획이다. 현대차는 2003년 ‘현대 클릭 스피드 페스티벌’을 시작으로 ‘코리아 스피드 페스티벌’ ‘현대 N 페스티벌’ 등 국내 모터스포츠 대회를 20년간 열어왔다. 틸 바텐베르크 현대차 N브랜드 매니지먼트 모터스포츠 사업부장은 “3년 만에 관중과 함께할 수 있는 올해 행사를 통해 더 많은 고객들에게 모터스포츠의 재미와 감동을 생생하게 전달하겠다”고 말했다.
		
]","[2022.05.03. 오후 1:30, 2022.05.03. 오후 2:16]"
"[호세 무뇨스 사장, 내년 3월 현대차 이사회 합류]",https://n.news.naver.com/mnews/article/020/0003426349?sid=102,"[

모셔널 이사회 맴버도 겸직



9일 현지시간 미디어 인터뷰를 가진 호세 무뇨스 현대차 미국법인(HMA) 사장현대자동차 글로벌 최고운영책임자(COO) 겸 북미권역 본부장인 호세 무뇨스 사장이 내년 현대차 이사회에 합류한다.  현대차 미국법인은 2일(현지 시간) 무뇨스 사장이 현대차 이사회 맴버로 내정됐으며, 내년 3월 주주총회 승인을 거쳐 정식 합류한다고 발표했다. 현대차 측은 “무뇨스 사장은 유럽, 인도 등 전략 지역의 성과를 이끌어내고, 해외 판매를 극대화하는 역할을 하게 될 것”이라고 전했다. 아울러 현대자동차그룹과 미국 자율주행 업체 앱티브의 합작 법인인 모셔널의 이사회 맴버도 겸직하게 된다. 모셔널 이사회에는 10일부터 합류한다.  현재 현대차 이사회에는 정의선 현대자동차그룹 회장을 포함해 장재훈 현대차 사장, 박정국 현대차 연구개발본부장(사장) 등 사내이사 5인과 사외이사 6인으로 구성돼 있다.   무뇨스 사장의 이사회 참여는 북미시장 성과를 높이 평가한 경영진의 결정으로 풀이된다. 현대차는 지난해 북미 시장에서 일본 혼다를 제치고 점유율 5위를 차지했다. 현대차는 올해 1분기(1~3월)에도 소매 시장에서 15만9676대의 신차를 팔아 역대 최다 기록을 세우기도 했다. 장 사장은 “무뇨스 사장은 검증된 리더다. 그의 역할이 확장됨으로서 회사의 경쟁력이 더욱 향상될 것”이라고 밝혔다.

]","[2022.05.03. 오후 10:38, 2022.05.03. 오후 10:44]"
"[현대차, 아마추어 레이싱팀 'TEAM HMC' 6년 연속 후원]",https://n.news.naver.com/mnews/article/001/0013150401?sid=101,"[





현대차, 아마추어 레이싱팀 'TEAM HMC' 6년 연속 후원[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차는 6년 연속으로 아마추어 동호회 레이싱팀인 'TEAM HMC(Hyundai Motor Club)'를 6년 연속으로 후원한다고 2일 밝혔다.    현대차는 서울시 강남구 오토웨이타워에서 유원하 부사장, 김주현 TEAM HMC 단장 등이 참석한 가운데 후원 협약식을 열었다.    TEAM HMC는 현대차 브랜드를 좋아하는 고객들의 동호회 '현대모터클럽' 회원으로 구성된 레이싱팀이다. 방송인 양상국씨와 가수 정동하씨 등 5명의 드라이버로 구성됐다.    TEAM HMC는 단일 차종으로 경주하는 국내 최대 규모 원-메이크 모터스포츠 대회인 '2022 현대 N 페스티벌'에 출전한다.    현대차는 TEAM HMC에 전문 드라이빙 수트, 차량 관리를 위한 전속 미케닉 팀, 경기 출전에 따른 소정의 경비 등을 지원한다.    현대 N 페스티벌은 오는 6일부터 10월 30일까지 인제스피디움과 영암 국제자동차경주장에서 7라운드에 걸쳐 진행된다.     현대차 관계자는 ""많은 분이 레이싱을 보는 것뿐 아니라 직접 경험할 수 있도록 모터스포츠 진입 장벽을 낮추는 것이 목표""라며 ""모터스포츠의 매력을 쉽게 즐길 수 있도록 지속해서 후원할 예정""이라고 말했다.    min22@yna.co.kr

]",[2022.05.02. 오전 8:46]
[1분기 세계 수소차 판매 4000대 하회…현대차 1위 수성],https://n.news.naver.com/mnews/article/018/0005206852?sid=101,"[

세계 수소차 시장 전년비 2.7%↓토요타 '미라이' 판매 감소 폭 확대[이데일리 경계영 기자] 지난 1분기 세계 수소연료전지차 시장이 뒷걸음질쳤다. 차량용 반도체 수급난, 우크라이나 사태 등이 겹치며 현대자동차 ‘넥쏘’와 토요타 ‘미라이’ 모두 판매가 부진했다. 3일 SNE리서치에 따르면 세계 각국에 1분기 등록된 수소연료전지차 판매대수는 3939대로 집계됐다. 지난해 1분기 4050대에서 2.7% 줄며 4000대를 밑돌았다. 현대차(005380)는 수소차 판매량이 1710대로 전년 동기 대비 5.4% 줄었지만 1위를 지켰다. 토요타 역시 수소차 판매량이 같은 기간 31.8% 감소한 1337대에 그쳤다. SNE리서치는 현대차와 토요타의 수소차 판매가 부진한 배경으로 차량용 반도체 수급난과 원자재 가격 상승, 우크라이나 사태 등 위협 요인이 복합적으로 작용했기 때문이라고 분석했다. 토요타가 일본에서의 공급망 이슈와 자연재해 등 대외 악재가 더해지며 물량 공급에 더욱 타격 받았다고도 덧붙였다. 혼다는 수소차 판매량이 154대로 전년 동기 대비 65.6% 증가했다. 혼다의 시장 내 점유율은 지난해 1분기 2.3%에서 올해 1분기 3.9%로 1%포인트 넘게 올랐다. SNE리서치는 올해 들어 수소차 시장이 각종 글로벌 이슈에 직면하면서 주춤했다면서 여러 불확실성이 이어지는 상황에서 현대차가 독주할 수 있을지 지켜볼 필요가 있다고 판단했다. 



단위=대, 자료=SNE리서치

]",[2022.05.03. 오후 2:05]
"[현대차, 6년 연속 아마추어 레이싱팀 'TEAM HMC' 후원]",https://n.news.naver.com/mnews/article/092/0002255505?sid=103,"[

드라이빙 수트·전속 미케닉 팀·경기 출전비 등 지원



유원하 현대차 국내사업본부장(왼쪽)과 김주현 TEAM HMC 단장이 포즈를 취하고 있다.현대자동차가 6년 연속 아마추어 레이싱팀 'TEAM HMC'를 후원하고 국내 모터스포츠 육성과 저변 확대에 힘쓴다.현대차는 서울시 강남구 소재 오토웨이타워에서 유원하 현대차 국내사업본부장, 김주형 TEAM HMC 단장 등이 참석한 가운데 '현대차-TEAM HMC 후원 협약식'을 진행했다고 2일 밝혔다.올해로 창단 6주년을 맞이한 TEAM HMC는 현대차를 좋아하는 소비자가 자발적으로 만든 동호회 '현대모터클럽' 회원들로 구성된 아마추어 레이싱팀이다.현대차는 TEAM HMC에 ▲전문 드라이빙 수트 ▲차량 관리를 위한 전속 미케닉 팀 ▲경기 출전에 따른 소정의 경비 등을 지원한다.TEAM HMC는 현대차 후원을 통해 국내 최대 원 메이크 모터스포츠 대회인 '2022 현대 N 페스티벌'에 출전, 드라이빙 실력을 뽐낼 예정이다.2022 현대 N 페스티벌은 이달 6일부터 10월 30일까지 인제스피디움과 영암국제자동차경주장에서 총 7라운드로 개최된다. 정부의 완화된 거리두기 방침에 따라 유관중 경기로 진행될 계획이다.현대차 관계자는 ""많은 분이 레이싱을 직접 경험할 수 있도록 꾸준히 모터스포츠 진입 장벽을 낮추는 것이 현대차의 목표""라고 전했다.한편, 현대차는 세계 최정상급 모터스포츠 대회 WRC 통산 20승과 함께 ▲WTCR 6차전 우승 ▲전기자동차 레이스 PURE ETCR 우승 ▲뉘르 24시 내구 레이스 완주 ▲현대 N e-페스티벌 글로벌 리그 개최 등을 통해 모터스포츠 저변을 넓혀가고 있다.

]",[2022.05.02. 오전 9:02]
